upgrade,in.state,in.comstock_building_type,timestamp,models_used,floor_area_represented,out.district_cooling.cooling.energy_consumption.kwh,out.district_heating.heating.energy_consumption.kwh,out.district_heating.water_systems.energy_consumption.kwh,out.electricity.cooling.energy_consumption.kwh,out.electricity.exterior_lighting.energy_consumption.kwh,out.electricity.fans.energy_consumption.kwh,out.electricity.heat_recovery.energy_consumption.kwh,out.electricity.heat_rejection.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.interior_equipment.energy_consumption.kwh,out.electricity.interior_lighting.energy_consumption.kwh,out.electricity.pumps.energy_consumption.kwh,out.electricity.pv.energy_consumption.kwh,out.electricity.refrigeration.energy_consumption.kwh,out.electricity.water_systems.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.water_systems.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.interior_equipment.energy_consumption.kwh,out.natural_gas.water_systems.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.water_systems.energy_consumption.kwh,out.electricity.net.energy_consumption.kwh,out.electricity.purchased.energy_consumption.kwh,out.district_cooling.total.energy_consumption.kwh,out.district_heating.total.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.district_cooling.cooling.energy_consumption.kwh.savings,out.district_heating.heating.energy_consumption.kwh.savings,out.district_heating.water_systems.energy_consumption.kwh.savings,out.electricity.cooling.energy_consumption.kwh.savings,out.electricity.exterior_lighting.energy_consumption.kwh.savings,out.electricity.fans.energy_consumption.kwh.savings,out.electricity.heat_recovery.energy_consumption.kwh.savings,out.electricity.heat_rejection.energy_consumption.kwh.savings,out.electricity.heating.energy_consumption.kwh.savings,out.electricity.interior_equipment.energy_consumption.kwh.savings,out.electricity.interior_lighting.energy_consumption.kwh.savings,out.electricity.pumps.energy_consumption.kwh.savings,out.electricity.pv.energy_consumption.kwh.savings,out.electricity.refrigeration.energy_consumption.kwh.savings,out.electricity.water_systems.energy_consumption.kwh.savings,out.fuel_oil.heating.energy_consumption.kwh.savings,out.fuel_oil.water_systems.energy_consumption.kwh.savings,out.natural_gas.heating.energy_consumption.kwh.savings,out.natural_gas.interior_equipment.energy_consumption.kwh.savings,out.natural_gas.water_systems.energy_consumption.kwh.savings,out.propane.heating.energy_consumption.kwh.savings,out.propane.water_systems.energy_consumption.kwh.savings,out.electricity.net.energy_consumption.kwh.savings,out.electricity.purchased.energy_consumption.kwh.savings,out.district_cooling.total.energy_consumption.kwh.savings,out.district_heating.total.energy_consumption.kwh.savings,out.electricity.total.energy_consumption.kwh.savings,out.fuel_oil.total.energy_consumption.kwh.savings,out.natural_gas.total.energy_consumption.kwh.savings,out.propane.total.energy_consumption.kwh.savings,out.site_energy.total.energy_consumption.kwh.savings
9,NY,LargeOffice,2018-01-01 00:15:00,396,694875907.1922662,5737.956,262009.67,1848.489,9143.641,7053.4834,38094.668,187.03555,26.827696,88510.22,62761.066,27668.07,8873.595,0.0,0.0,2836.632,20952.54,57.540157,180261.9,0.0,2339.9294,0.0,0.0,245155.28,245155.28,5737.956,263858.16,245155.28,21010.078,182601.84,0.0,718363.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NY,LargeOffice,2018-01-01 00:30:00,396,694875907.1922662,5732.7104,265705.75,2159.6113,8499.682,7053.4834,37727.777,191.34521,14.217681,93821.836,62774.7,28496.395,9005.949,0.0,0.0,2921.7212,22153.695,78.72919,189822.48,0.0,2791.8682,0.0,0.0,250507.14,250507.14,5732.7104,267865.38,250507.14,22232.426,192614.31,0.0,738951.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NY,LargeOffice,2018-01-01 00:45:00,396,694875907.1922662,5511.494,281804.56,1817.0701,8188.726,7053.4834,38407.523,188.97192,15.648601,102541.53,62619.785,28288.076,8923.778,0.0,0.0,2128.2327,22810.465,50.043797,203557.36,0.0,2176.762,0.0,0.0,258355.81,258355.81,5511.494,283621.6,258355.81,22860.512,205734.19,0.0,776083.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NY,LargeOffice,2018-01-01 01:00:00,396,694875907.1922662,5183.51,290788.28,277.0297,7729.7095,7053.4834,38893.37,189.06519,19.340363,108838.73,62699.703,29486.79,8825.149,0.0,0.0,390.47913,24275.115,18.180412,210422.72,0.0,477.3032,0.0,0.0,264125.8,264125.8,5183.51,291065.28,264125.8,24293.297,210899.97,0.0,795568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NY,LargeOffice,2018-01-01 01:15:00,396,694875907.1922662,5039.844,293357.47,7.118695,7912.2886,7053.4834,39063.992,193.4721,22.948244,110537.36,62497.55,29852.412,8856.985,0.0,0.0,182.17162,24074.082,19.771938,215837.19,0.0,189.02896,0.0,0.0,266172.62,266172.62,5039.844,293364.6,266172.62,24093.855,216026.16,0.0,804697.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NY,LargeOffice,2018-01-01 01:30:00,396,694875907.1922662,4965.7666,295878.9,17.212063,7532.862,7053.4834,38783.05,187.99663,19.225384,113441.56,62174.29,30204.064,8912.257,0.0,0.0,22.119478,23833.814,10.428759,216413.94,0.0,150.6954,0.0,0.0,268330.8,268330.8,4965.7666,295896.1,268330.8,23844.242,216564.69,0.0,809601.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NY,LargeOffice,2018-01-01 01:45:00,396,694875907.1922662,4916.4175,296719.16,94.859245,7505.6284,7053.4834,38652.305,190.39854,23.431217,114112.14,61842.88,30560.742,8897.803,0.0,0.0,124.65169,24350.129,0.9326445,219852.14,0.0,134.22789,0.0,0.0,268963.44,268963.44,4916.4175,296814.0,268963.44,24351.062,219986.39,0.0,815030.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NY,LargeOffice,2018-01-01 02:00:00,396,694875907.1922662,4860.381,304026.5,27.701675,7573.5503,7053.4834,39445.24,190.66487,19.14829,115802.68,61573.926,30906.73,8923.921,0.0,0.0,56.94891,24925.074,0.0,221764.78,0.0,91.52772,0.0,0.0,271546.38,271546.38,4860.381,304054.22,271546.38,24925.074,221856.33,0.0,827242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NY,LargeOffice,2018-01-01 02:15:00,396,694875907.1922662,4789.275,300227.5,0.6462528,7746.782,7053.4834,39420.855,207.0258,23.58757,119843.336,61250.824,31258.174,8939.621,0.0,0.0,46.06835,24342.691,4.8802514,221336.1,0.0,40.917664,0.0,0.0,275789.7,275789.7,4789.275,300228.16,275789.7,24347.57,221376.98,0.0,826531.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NY,LargeOffice,2018-01-01 02:30:00,396,694875907.1922662,4743.242,302994.38,2.5221407,7104.2773,7053.4834,38863.305,203.85756,18.685148,119737.79,61197.855,31621.043,8959.651,0.0,0.0,3.2735262,25027.402,2.8107698,225370.8,0.0,165.72278,0.0,0.0,274763.3,274763.3,4743.242,302996.9,274763.3,25030.213,225536.5,0.0,833069.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
