upgrade,in.state,in.comstock_building_type,timestamp,models_used,floor_area_represented,out.district_cooling.cooling.energy_consumption.kwh,out.district_heating.heating.energy_consumption.kwh,out.district_heating.water_systems.energy_consumption.kwh,out.electricity.cooling.energy_consumption.kwh,out.electricity.exterior_lighting.energy_consumption.kwh,out.electricity.fans.energy_consumption.kwh,out.electricity.heat_recovery.energy_consumption.kwh,out.electricity.heat_rejection.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.interior_equipment.energy_consumption.kwh,out.electricity.interior_lighting.energy_consumption.kwh,out.electricity.pumps.energy_consumption.kwh,out.electricity.pv.energy_consumption.kwh,out.electricity.refrigeration.energy_consumption.kwh,out.electricity.water_systems.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.water_systems.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.interior_equipment.energy_consumption.kwh,out.natural_gas.water_systems.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.water_systems.energy_consumption.kwh,out.electricity.net.energy_consumption.kwh,out.electricity.purchased.energy_consumption.kwh,out.district_cooling.total.energy_consumption.kwh,out.district_heating.total.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.district_cooling.cooling.energy_consumption.kwh.savings,out.district_heating.heating.energy_consumption.kwh.savings,out.district_heating.water_systems.energy_consumption.kwh.savings,out.electricity.cooling.energy_consumption.kwh.savings,out.electricity.exterior_lighting.energy_consumption.kwh.savings,out.electricity.fans.energy_consumption.kwh.savings,out.electricity.heat_recovery.energy_consumption.kwh.savings,out.electricity.heat_rejection.energy_consumption.kwh.savings,out.electricity.heating.energy_consumption.kwh.savings,out.electricity.interior_equipment.energy_consumption.kwh.savings,out.electricity.interior_lighting.energy_consumption.kwh.savings,out.electricity.pumps.energy_consumption.kwh.savings,out.electricity.pv.energy_consumption.kwh.savings,out.electricity.refrigeration.energy_consumption.kwh.savings,out.electricity.water_systems.energy_consumption.kwh.savings,out.fuel_oil.heating.energy_consumption.kwh.savings,out.fuel_oil.water_systems.energy_consumption.kwh.savings,out.natural_gas.heating.energy_consumption.kwh.savings,out.natural_gas.interior_equipment.energy_consumption.kwh.savings,out.natural_gas.water_systems.energy_consumption.kwh.savings,out.propane.heating.energy_consumption.kwh.savings,out.propane.water_systems.energy_consumption.kwh.savings,out.electricity.net.energy_consumption.kwh.savings,out.electricity.purchased.energy_consumption.kwh.savings,out.district_cooling.total.energy_consumption.kwh.savings,out.district_heating.total.energy_consumption.kwh.savings,out.electricity.total.energy_consumption.kwh.savings,out.fuel_oil.total.energy_consumption.kwh.savings,out.natural_gas.total.energy_consumption.kwh.savings,out.propane.total.energy_consumption.kwh.savings,out.site_energy.total.energy_consumption.kwh.savings
15,NY,LargeOffice,2018-01-01 00:15:00,396,694875907.1922662,5737.956,262009.67,1848.4897,9098.493,7053.4834,37919.633,188.97647,27.059,153688.64,62761.066,27668.07,9127.993,0.0,0.0,2840.218,20952.54,57.540157,15429.99,0.0,2354.2532,0.0,0.0,310373.6,310373.6,5737.956,263858.16,310373.6,21010.078,17784.244,0.0,618764.5,0.0,0.0,-0.0007324219,45.14702,0.0,175.03503,-1.9409208,-0.23130417,-65178.43,0.0,0.0,-254.39856,0.0,0.0,-3.5858154,0.0,0.0,164831.92,0.0,-14.323765,0.0,0.0,-65218.3,-65218.3,0.0,0.0,-65218.3,0.0,164817.6,0.0,99598.98
15,NY,LargeOffice,2018-01-01 00:30:00,396,694875907.1922662,5732.7104,265705.75,2159.6118,8449.373,7053.4834,37711.492,188.03142,14.453172,162761.34,62774.7,28496.395,9266.976,0.0,0.0,2878.8726,22153.695,78.72919,16639.969,0.0,2817.6035,0.0,0.0,319595.22,319595.22,5732.7104,267865.38,319595.22,22232.426,19457.568,0.0,634883.2,0.0,0.0,-0.00048828125,50.308975,0.0,16.286499,3.313797,-0.2354908,-68939.516,0.0,0.0,-261.02573,0.0,0.0,42.84858,0.0,0.0,173182.52,0.0,-25.73545,0.0,0.0,-69088.09,-69088.09,0.0,0.0,-69088.09,0.0,173156.75,0.0,104068.7
15,NY,LargeOffice,2018-01-01 00:45:00,396,694875907.1922662,5511.494,281804.56,1816.9834,8143.2437,7053.4834,38403.438,190.48218,15.905923,177065.03,62619.785,28288.076,9217.3545,0.0,0.0,2242.4148,22810.465,50.043797,18240.996,0.0,2224.4077,0.0,0.0,333239.0,333239.0,5511.494,283621.5,333239.0,22860.512,20465.404,0.0,665698.0,0.0,0.0,0.08666992,45.482246,0.0,4.085083,-1.5102658,-0.2573223,-74523.49,0.0,0.0,-293.5756,0.0,0.0,-114.182236,0.0,0.0,185316.36,0.0,-47.64573,0.0,0.0,-74883.19,-74883.19,0.0,0.09375,-74883.19,0.0,185268.8,0.0,110385.36
15,NY,LargeOffice,2018-01-01 01:00:00,396,694875907.1922662,5183.51,290788.28,277.109,7670.829,7053.4834,38870.13,190.16614,19.465477,187576.88,62699.703,29486.79,9133.346,0.0,0.0,389.2924,24275.115,18.180412,19752.646,0.0,477.17136,0.0,0.0,343090.1,343090.1,5183.51,291065.34,343090.1,24293.297,20229.818,0.0,683862.2,0.0,0.0,-0.079315186,58.880096,0.0,23.244019,-1.1009555,-0.12511444,-78738.16,0.0,0.0,-308.19586,0.0,0.0,1.1867409,0.0,0.0,190670.08,0.0,0.13183975,0.0,0.0,-78964.29,-78964.29,0.0,-0.0625,-78964.29,0.0,190670.14,0.0,111705.83
15,NY,LargeOffice,2018-01-01 01:15:00,396,694875907.1922662,5039.844,293357.47,7.118695,7862.281,7053.4834,39038.504,193.53516,23.05609,191476.27,62497.55,29852.412,9169.555,0.0,0.0,181.53268,24074.082,19.771938,20129.592,0.0,189.2824,0.0,0.0,347348.2,347348.2,5039.844,293364.6,347348.2,24093.855,20318.871,0.0,690165.2,0.0,0.0,0.0,50.00807,0.0,25.491333,-0.06305456,-0.10784531,-80938.914,0.0,0.0,-312.56964,0.0,0.0,0.63892937,0.0,0.0,195707.6,0.0,-0.2534256,0.0,0.0,-81175.56,-81175.56,0.0,0.0,-81175.56,0.0,195707.3,0.0,114532.07
15,NY,LargeOffice,2018-01-01 01:30:00,396,694875907.1922662,4965.7666,295878.9,17.212063,7477.9736,7053.4834,38832.81,188.11351,19.33323,195613.27,62174.29,30204.064,9229.688,0.0,0.0,22.149683,23833.814,10.428759,20438.482,0.0,145.55385,0.0,0.0,350815.28,350815.28,4965.7666,295896.1,350815.28,23844.242,20584.035,0.0,696105.44,0.0,0.0,0.0,54.88801,0.0,-49.757324,-0.116886616,-0.10784531,-82171.71,0.0,0.0,-317.4316,0.0,0.0,-0.030204773,0.0,0.0,195975.45,0.0,5.1415586,0.0,0.0,-82484.45,-82484.45,0.0,0.0,-82484.45,0.0,195980.66,0.0,113496.086
15,NY,LargeOffice,2018-01-01 01:45:00,396,694875907.1922662,4916.4175,296719.16,94.859245,7456.084,7053.4834,38627.266,191.11975,23.539062,196330.55,61842.88,30560.742,9194.473,0.0,0.0,100.94626,24350.129,0.9326445,20710.113,0.0,134.2256,0.0,0.0,351380.94,351380.94,4916.4175,296814.0,351380.94,24351.062,20844.34,0.0,698306.9,0.0,0.0,0.0,49.544518,0.0,25.038452,-0.7212076,-0.10784531,-82218.4,0.0,0.0,-296.67004,0.0,0.0,23.705433,0.0,0.0,199142.03,0.0,0.0022888184,0.0,0.0,-82417.49,-82417.49,0.0,0.0,-82417.49,0.0,199142.06,0.0,116723.92
15,NY,LargeOffice,2018-01-01 02:00:00,396,694875907.1922662,4860.381,304026.5,27.701675,7492.8574,7053.4834,39374.367,191.46245,19.256138,199321.66,61573.926,30906.73,9239.909,0.0,0.0,56.948463,24925.074,0.0,21055.014,0.0,105.281944,0.0,0.0,355230.44,355230.44,4860.381,304054.22,355230.44,24925.074,21160.295,0.0,710230.25,0.0,0.0,0.0,80.69279,0.0,70.871704,-0.7975702,-0.107847214,-83518.98,0.0,0.0,-315.98785,0.0,0.0,0.0004453659,0.0,0.0,200709.77,0.0,-13.754227,0.0,0.0,-83684.055,-83684.055,0.0,0.0,-83684.055,0.0,200696.03,0.0,117011.74
15,NY,LargeOffice,2018-01-01 02:15:00,396,694875907.1922662,4789.275,300227.5,0.6462528,7695.8774,7053.4834,39427.152,208.66956,23.695415,205335.69,61250.824,31258.174,9273.596,0.0,0.0,46.068832,24342.691,4.8802514,20828.604,0.0,27.166729,0.0,0.0,361573.1,361573.1,4789.275,300228.16,361573.1,24347.57,20855.771,0.0,711793.94,0.0,0.0,0.0,50.90503,0.0,-6.29895,-1.6437497,-0.10784531,-85492.34,0.0,0.0,-333.9748,0.0,0.0,-0.00048398972,0.0,0.0,200507.48,0.0,13.750935,0.0,0.0,-85783.38,-85783.38,0.0,0.0,-85783.38,0.0,200521.22,0.0,114737.875
15,NY,LargeOffice,2018-01-01 02:30:00,396,694875907.1922662,4743.242,302994.38,2.5221407,7067.8247,7053.4834,38921.65,203.96666,18.792994,206954.45,61197.855,31621.043,9176.677,0.0,0.0,3.038621,25027.402,2.8107698,20919.05,0.0,165.59967,0.0,0.0,362218.88,362218.88,4743.242,302996.9,362218.88,25030.213,21084.652,0.0,716073.44,0.0,0.0,0.0,36.45292,0.0,-58.34204,-0.109093666,-0.10784531,-87216.664,0.0,0.0,-217.02544,0.0,0.0,0.234905,0.0,0.0,204451.75,0.0,0.12310791,0.0,0.0,-87455.56,-87455.56,0.0,0.0,-87455.56,0.0,204451.86,0.0,116996.37
